iteration,cost
823,115921350.31850336
824,115905225.73502803
825,115889112.43967623
826,115873010.42045268
827,115856919.66543786
828,115840840.1627866
829,115824771.90072736
830,115808714.86756076
831,115792669.05165888
832,115776634.44146392
833,115760611.02548736
834,115744598.79230876
835,115728597.73057485
836,115712607.82899879
837,115696629.07635865
838,115680661.46149684
839,115664704.97331923
840,115648759.60079397
841,115632825.33295064
842,115616902.15887955
843,115600990.06773059
844,115585089.04871258
845,115569199.09109215
846,115553320.18419339
847,115537452.3173963
848,115521595.48013678
849,115505749.6619051
850,115489914.85224554
851,115474091.04075564
852,115458278.21708517
853,115442476.37093559
854,115426685.49205913
855,115410905.57025832
856,115395136.59538502
857,115379378.55733974
858,115363631.4460713
859,115347895.25157566
860,115332169.9638954
861,115316455.57311927
862,115300752.06938146
863,115285059.44286048
864,115269377.68377945
865,115253706.78240457
866,115238046.72904518
867,115222397.51405272
868,115206759.12782037
869,115191131.56078231
870,115175514.80341344
871,115159908.84622826
872,115144313.67978108
873,115128729.29466477
874,115113155.68151072
875,115097592.83098783
876,115082040.73380263
877,115066499.38069803
878,115050968.76245336
879,115035448.86988384
880,115019939.6938397
881,115004441.22520609
882,114988953.4549025
883,114973476.37388225
884,114958009.97313187
885,114942554.24367096
886,114927109.17655174
887,114911674.76285824
888,114896250.99370626
889,114880837.86024265
890,114865435.35364535
891,114850043.4651223
892,114834662.18591166
893,114819291.50728105
894,114803931.42052726
895,114788581.91697589
896,114773242.98798108
897,114757914.6249249
898,114742596.8192169
899,114727289.56229429
900,114711992.84562106
901,114696706.66068788
902,114681430.99901155
903,114666165.85213496
904,114650911.21162637
905,114635667.06907958
906,114620433.4161131
907,114605210.24437015
908,114589997.54551822
909,114574795.31124893
910,114559603.53327726
911,114544422.20334202
912,114529251.31320475
913,114514090.85465005
914,114498940.81948483
915,114483801.1995385
916,114468671.98666222
917,114453553.1727289
918,114438444.7496329
919,114423346.70928967
920,114408259.0436357
921,114393181.74462818
922,114378114.80424425
923,114363058.21448182
924,114348011.96735826
925,114332976.05491072
926,114317950.46919598
927,114302935.20228963
928,114287930.24628659
