iteration,cost
508,2345257254.129784
509,2345251979.8662314
510,2345246780.0146813
511,2345241653.5250583
512,2345236599.362108
513,2345231616.5051885
514,2345226703.948064
515,2345221860.6987023
516,2345217085.779076
517,2345212378.224958
518,2345207737.0857363
519,2345203161.424212
520,2345198650.3164186
521,2345194202.851429
522,2345189818.1311727
523,2345185495.2702594
524,2345181233.39579
525,2345177031.6471906
526,2345172889.176031
527,2345168805.1458597
528,2345164778.732025
529,2345160809.1215205
530,2345156895.5128136
531,2345153037.115681
532,2345149233.151057
533,2345145482.8508706
534,2345141785.4578896
535,2345138140.225571
536,2345134546.4179077
537,2345131003.309282
538,2345127510.1843157
539,2345124066.337727
540,2345120671.0741906
541,2345117323.708191
542,2345114023.563893
543,2345110769.9749923
544,2345107562.2845964
545,2345104399.84508
546,2345101282.017957
547,2345098208.1737547
548,2345095177.691882
549,2345092189.9605083
550,2345089244.3764367
551,2345086340.344984
552,2345083477.279859
553,2345080654.6030455
554,2345077871.7446837
555,2345075128.1429577
556,2345072423.2439785
557,2345069756.501675
558,2345067127.377685
559,2345064535.341238
560,2345061979.8690605
561,2345059460.4452596
562,2345056976.561222
563,2345054527.7155194
564,2345052113.4137897
565,2345049733.1686544
566,2345047386.499613
567,2345045072.932939
568,2345042792.0016
569,2345040543.2451487
570,2345038326.2096376
571,2345036140.4475265
572,2345033985.5175867
573,2345031860.9848204
574,2345029766.420367
575,2345027701.4014163
576,2345025665.5111265
577,2345023658.3385386
578,2345021679.4784904
579,2345019728.531539
580,2345017805.1038785
581,2345015908.8072586
582,2345014039.2589087
583,2345012196.081461
584,2345010378.90287
585,2345008587.3563414
586,2345006821.0802574
587,2345005079.7181034
588,2345003362.918393
589,2345001670.334603
590,2345000001.6250978
591,2344998356.453063
592,2344996734.4864383
593,2344995135.3978457
594,2344993558.8645315
595,2344992004.568292
596,2344990472.195416
597,2344988961.4366183
598,2344987471.9869766
599,2344986003.545874
600,2344984555.8169327
601,2344983128.5079584
602,2344981721.33088
603,2344980334.00169
604,2344978966.240389
605,2344977617.770929
606,2344976288.321155
607,2344974977.6227555
608,2344973685.411202
609,2344972411.4256983
610,2344971155.409133
611,2344969917.1080136
612,2344968696.2724323
613,2344967492.656006
614,2344966306.015823
615,2344965136.1124053
616,2344963982.7096515
617,2344962845.574789
618,2344961724.478333
619,2344960619.1940365
620,2344959529.4988413
621,2344958455.17284
622,2344957395.9992266
623,2344956351.764254
624,2344955322.25719
625,2344954307.2702794
626,2344953306.5986943
627,2344952320.0404954
628,2344951347.3965993
629,2344950388.4707255
630,2344949443.0693655
631,2344948511.0017385
632,2344947592.079759
633,2344946686.1179934
634,2344945792.933622
635,2344944912.3464103
636,2344944044.1786594
637,2344943188.255183
638,2344942344.4032655
639,2344941512.452626
640,2344940692.2353873
641,2344939883.5860415
642,2344939086.341414
643,2344938300.3406334
644,2344937525.4250984
645,2344936761.4384446
646,2344936008.2265124
647,2344935265.63732
648,2344934533.521028
649,2344933811.7299104
650,2344933100.1183257
651,2344932398.54269
652,2344931706.86144
653,2344931024.935013
654,2344930352.625816
655,2344929689.798193
656,2344929036.3184056
657,2344928392.054601
658,2344927756.8767877
659,2344927130.656804
660,2344926513.2683015
661,2344925904.5867105
662,2344925304.489222
663,2344924712.8547554
664,2344924129.5639424
665,2344923554.4990954
666,2344922987.5441885
667,2344922428.584834
668,2344921877.5082536
669,2344921334.203266
670,2344920798.560253
671,2344920270.471147
672,2344919749.829401
673,2344919236.529974
674,2344918730.4693055
675,2344918231.5452967
676,2344917739.6572876
677,2344917254.7060413
678,2344916776.593716
679,2344916305.2238555
680,2344915840.5013604
681,2344915382.3324747
682,2344914930.624764
683,2344914485.287099
684,2344914046.229635
685,2344913613.3637943
686,2344913186.6022506
687,2344912765.858907
688,2344912351.048883
689,2344911942.088495
690,2344911538.89524
691,2344911141.3877773
692,2344910749.485916
693,2344910363.1105947
694,2344909982.183869
695,2344909606.6288905
696,2344909236.3698997
697,2344908871.3322015
698,2344908511.4421573
699,2344908156.627165
700,2344907806.8156486
701,2344907461.9370413
702,2344907121.92177
703,2344906786.701245
704,2344906456.2078443
705,2344906130.3748975
706,2344905809.136677
707,2344905492.428381
708,2344905180.186123
709,2344904872.346915
710,2344904568.8486614
711,2344904269.630138
712,2344903974.6309896
713,2344903683.7917066
714,2344903397.053624
715,2344903114.3589
716,2344902835.650511
717,2344902560.8722363
718,2344902289.968652
719,2344902022.8851104
720,2344901759.5677395
721,2344901499.9634237
722,2344901244.019798
723,2344900991.6852365
724,2344900742.9088407
725,2344900497.64043
726,2344900255.8305335
727,2344900017.430374
728,2344899782.3918667
729,2344899550.667602
730,2344899322.2108417
731,2344899096.9755034
732,2344898874.9161577
733,2344898655.9880137
734,2344898440.1469145
735,2344898227.3493247
736,2344898017.552324
737,2344897810.7135935
738,2344897606.7914186
739,2344897405.7446656
740,2344897207.532785
741,2344897012.1158
742,2344896819.4542937
743,2344896629.5094094
744,2344896442.242834
745,2344896257.6168003
746,2344896075.5940685
747,2344895896.137928
748,2344895719.2121844
749,2344895544.7811527
750,2344895372.8096523
751,2344895203.2629986
752,2344895036.1069975
753,2344894871.307935
754,2344894708.832574
755,2344894548.648145
756,2344894390.722343
757,2344894235.0233154
758,2344894081.5196624
759,2344893930.180423
760,2344893780.9750757
761,2344893633.873531
762,2344893488.8461185
763,2344893345.863591
764,2344893204.8971124
765,2344893065.918252
766,2344892928.8989825
767,2344892793.8116693
768,2344892660.62907
769,2344892529.324323
770,2344892399.8709507
771,2344892272.242844
772,2344892146.414264
773,2344892022.359835
774,2344891900.0545397
775,2344891779.4737124
776,2344891660.5930357
777,2344891543.3885345
778,2344891427.836575
779,2344891313.913851
780,2344891201.597391
781,2344891090.8645425
782,2344890981.6929765
783,2344890874.0606756
784,2344890767.9459357
785,2344890663.327358
786,2344890560.1838427
787,2344890458.494592
788,2344890358.2390976
789,2344890259.3971443
790,2344890161.9487967
791,2344890065.874407
792,2344889971.1545987
793,2344889877.770272
794,2344889785.7025948
795,2344889694.933003
796,2344889605.4431896
797,2344889517.2151117
798,2344889430.2309766
799,2344889344.473243
800,2344889259.924619
801,2344889176.568054
802,2344889094.386741
803,2344889013.3641076
804,2344888933.4838147
805,2344888854.729755
806,2344888777.086049
807,2344888700.5370393
808,2344888625.06729
809,2344888550.6615834
810,2344888477.3049164
811,2344888404.982496
812,2344888333.6797404
813,2344888263.38227
814,2344888194.075911
815,2344888125.74669
816,2344888058.380826
817,2344887991.9647365
818,2344887926.4850307
819,2344887861.928504
820,2344887798.2821403
821,2344887735.5331054
822,2344887673.6687484
823,2344887612.676593
824,2344887552.544342
825,2344887493.2598705
826,2344887434.8112254
827,2344887377.1866217
828,2344887320.3744392
829,2344887264.3632245
830,2344887209.141681
831,2344887154.6986785
832,2344887101.023236
833,2344887048.1045327
834,2344886995.9318986
835,2344886944.494815
836,2344886893.782909
837,2344886843.785957
838,2344886794.493877
839,2344886745.8967333
840,2344886697.984725
841,2344886650.748192
842,2344886604.1776104
843,2344886558.2635922
844,2344886512.996879
845,2344886468.3683434
846,2344886424.3689876
847,2344886380.989942
848,2344886338.222459
849,2344886296.057916
850,2344886254.4878116
851,2344886213.5037656
852,2344886173.0975137
853,2344886133.2609105
854,2344886093.9859242
855,2344886055.2646346
856,2344886017.089237
857,2344885979.4520345
858,2344885942.345438
859,2344885905.761967
860,2344885869.694245
861,2344885834.1350017
862,2344885799.0770664
863,2344885764.513373
864,2344885730.4369507
865,2344885696.8409305
866,2344885663.71854
867,2344885631.063101
868,2344885598.868028
869,2344885567.126834
870,2344885535.8331165
871,2344885504.980568
872,2344885474.5629683
873,2344885444.5741844
874,2344885415.008171
875,2344885385.8589683
876,2344885357.120698
877,2344885328.7875676
878,2344885300.8538656
879,2344885273.313959
880,2344885246.1622972
881,2344885219.3934045
882,2344885193.0018864
883,2344885166.982422
884,2344885141.329765
885,2344885116.038744
886,2344885091.104261
887,2344885066.521288
888,2344885042.284871
889,2344885018.390122
890,2344884994.832227
891,2344884971.6064343
892,2344884948.708063
893,2344884926.1324954
894,2344884903.8751807
895,2344884881.9316344
896,2344884860.2974305
897,2344884838.9682074
898,2344884817.9396677
899,2344884797.2075706
900,2344884776.7677374
901,2344884756.6160464
902,2344884736.7484365
903,2344884717.160903
904,2344884697.8494954
905,2344884678.8103228
906,2344884660.039547
907,2344884641.533382
908,2344884623.2881
909,2344884605.30002
910,2344884587.565519
911,2344884570.08102
912,2344884552.8429985
913,2344884535.8479824
914,2344884519.0925417
915,2344884502.5733013
916,2344884486.2869306
917,2344884470.230147
918,2344884454.3997126
919,2344884438.792438
920,2344884423.405175
921,2344884408.234824
922,2344884393.278326
923,2344884378.532666
924,2344884363.994872
925,2344884349.662014
926,2344884335.531201
927,2344884321.599587
928,2344884307.8643613
929,2344884294.322757
930,2344884280.972044
931,2344884267.8095317
932,2344884254.8325653
933,2344884242.038531
934,2344884229.4248476
935,2344884216.9889746
936,2344884204.7284055
937,2344884192.6406665
938,2344884180.723323
939,2344884168.9739723
940,2344884157.3902464
941,2344884145.9698105
942,2344884134.710362
943,2344884123.609631
944,2344884112.6653814
945,2344884101.8754067
946,2344884091.2375307
947,2344884080.7496114
948,2344884070.409533
949,2344884060.2152123
950,2344884050.1645937
951,2344884040.2556515
952,2344884030.4863896
953,2344884020.854838
954,2344884011.359055
955,2344884001.997127
956,2344883992.7671676
957,2344883983.667315
958,2344883974.695736
959,2344883965.8506217
960,2344883957.1301904
961,2344883948.5326834
962,2344883940.0563684
963,2344883931.699537
964,2344883923.460504
965,2344883915.33761
966,2344883907.329216
967,2344883899.4337096
968,2344883891.6494985
969,2344883883.9750147
970,2344883876.40871
971,2344883868.94906
972,2344883861.5945616
973,2344883854.3437324
974,2344883847.1951094
975,2344883840.147254
976,2344883833.1987443
977,2344883826.348181
978,2344883819.5941834
979,2344883812.935388
980,2344883806.3704543
981,2344883799.8980603
982,2344883793.5168986
983,2344883787.225686
984,2344883781.0231524
985,2344883774.908049
986,2344883768.879143
987,2344883762.935219
988,2344883757.0750794
989,2344883751.297544
990,2344883745.6014457
991,2344883739.9856386
992,2344883734.44899
993,2344883728.9903855
994,2344883723.6087217
995,2344883718.3029175
996,2344883713.0719023
997,2344883707.9146214
998,2344883702.8300357
999,2344883697.81712
1000,2344883692.874865
1001,2344883688.002273
1002,2344883683.198364
1003,2344883678.462169
1004,2344883673.7927322
1005,2344883669.1891146
1006,2344883664.6503863
1007,2344883660.1756353
1008,2344883655.7639565
1009,2344883651.414464
1010,2344883647.126279
1011,2344883642.8985376
1012,2344883638.730388
1013,2344883634.6209917
1014,2344883630.5695176
1015,2344883626.5751514
1016,2344883622.637087
1017,2344883618.754531
1018,2344883614.926701
1019,2344883611.152827
1020,2344883607.4321446
1021,2344883603.7639084
1022,2344883600.147376
1023,2344883596.58182
1024,2344883593.066522
1025,2344883589.600773
1026,2344883586.1838746
1027,2344883582.8151383
1028,2344883579.4938846
1029,2344883576.219445
1030,2344883572.99116
1031,2344883569.808378
1032,2344883566.6704583
1033,2344883563.576767
1034,2344883560.526682
1035,2344883557.519589
1036,2344883554.5548806
1037,2344883551.6319604
1038,2344883548.75024
1039,2344883545.9091372
1040,2344883543.1080804
1041,2344883540.346504
1042,2344883537.6238527
1043,2344883534.939577
1044,2344883532.293136
1045,2344883529.6839976
1046,2344883527.111634
1047,2344883524.575528
1048,2344883522.075169
1049,2344883519.6100526
1050,2344883517.179681
1051,2344883514.7835655
1052,2344883512.421224
1053,2344883510.0921793
1054,2344883507.7959614
1055,2344883505.5321093
1056,2344883503.300166
1057,2344883501.099681
1058,2344883498.9302125
1059,2344883496.791322
1060,2344883494.682578
1061,2344883492.603557
1062,2344883490.55384
1063,2344883488.5330124
1064,2344883486.5406685
1065,2344883484.576407
1066,2344883482.6398306
1067,2344883480.730549
1068,2344883478.84818
1069,2344883476.992341
1070,2344883475.1626606
1071,2344883473.358768
1072,2344883471.5803013
1073,2344883469.826902
1074,2344883468.098215
1075,2344883466.393894
1076,2344883464.713596
1077,2344883463.0569797
1078,2344883461.4237127
1079,2344883459.8134675
1080,2344883458.2259164
1081,2344883456.6607423
1082,2344883455.117628
1083,2344883453.596264
1084,2344883452.0963426
1085,2344883450.617562
1086,2344883449.1596236
1087,2344883447.722235
1088,2344883446.3051057
1089,2344883444.90795
1090,2344883443.5304856
1091,2344883442.1724367
1092,2344883440.8335285
1093,2344883439.513492
1094,2344883438.21206
1095,2344883436.9289722
1096,2344883435.663967
1097,2344883434.416793
1098,2344883433.1871967
1099,2344883431.9749303
1100,2344883430.7797503
1101,2344883429.601416
1102,2344883428.43969
1103,2344883427.294337
1104,2344883426.165127
1105,2344883425.0518327
1106,2344883423.95423
1107,2344883422.8720956
1108,2344883421.805215
1109,2344883420.75337
1110,2344883419.716351
1111,2344883418.6939473
1112,2344883417.6859536
1113,2344883416.692168
1114,2344883415.712388
1115,2344883414.746417
1116,2344883413.7940626
1117,2344883412.855129
1118,2344883411.929429
1119,2344883411.016777
1120,2344883410.116987
1121,2344883409.2298794
1122,2344883408.355274
1123,2344883407.4929976
1124,2344883406.6428723
1125,2344883405.8047295
1126,2344883404.9783998
1127,2344883404.1637154
1128,2344883403.360514
1129,2344883402.5686336
1130,2344883401.7879133
1131,2344883401.0181966
1132,2344883400.259329
1133,2344883399.5111547
1134,2344883398.773527
1135,2344883398.0462956
1136,2344883397.3293138
1137,2344883396.622437
1138,2344883395.925523
1139,2344883395.2384305
1140,2344883394.561023
1141,2344883393.893162
1142,2344883393.2347136
1143,2344883392.5855465
1144,2344883391.945528
1145,2344883391.31453
1146,2344883390.6924253
1147,2344883390.079089
1148,2344883389.474396
1149,2344883388.8782263
1150,2344883388.290458
1151,2344883387.7109747
1152,2344883387.1396575
1153,2344883386.5763936
1154,2344883386.021067
1155,2344883385.4735684
1156,2344883384.9337854
1157,2344883384.4016104
1158,2344883383.876936
1159,2344883383.3596554
1160,2344883382.849665
1161,2344883382.3468633
1162,2344883381.851147
1163,2344883381.362418
1164,2344883380.880577
1165,2344883380.4055266
1166,2344883379.937172
1167,2344883379.475418
1168,2344883379.020172
1169,2344883378.571342
1170,2344883378.128837
1171,2344883377.6925697
1172,2344883377.2624493
1173,2344883376.8383927
1174,2344883376.420312
1175,2344883376.0081234
1176,2344883375.601743
1177,2344883375.201092
1178,2344883374.806087
1179,2344883374.4166484
1180,2344883374.0326986
1181,2344883373.65416
1182,2344883373.2809567
1183,2344883372.913013
1184,2344883372.550256
1185,2344883372.1926103
1186,2344883371.840005
1187,2344883371.492369
1188,2344883371.1496344
1189,2344883370.811728
1190,2344883370.4785843
1191,2344883370.1501365
1192,2344883369.8263173
1193,2344883369.507062
1194,2344883369.1923056
1195,2344883368.8819866
1196,2344883368.576039
1197,2344883368.274405
1198,2344883367.9770207
1199,2344883367.6838284
1200,2344883367.3947687
1201,2344883367.1097817
1202,2344883366.828811
1203,2344883366.551801
1204,2344883366.2786956
1205,2344883366.0094376
1206,2344883365.743976
1207,2344883365.482255
1208,2344883365.224222
1209,2344883364.9698257
1210,2344883364.7190146
1211,2344883364.4717393
1212,2344883364.227948
1213,2344883363.987592
1214,2344883363.7506247
1215,2344883363.5169964
1216,2344883363.286662
1217,2344883363.0595713
1218,2344883362.835683
1219,2344883362.6149487
1220,2344883362.397326
1221,2344883362.1827707
1222,2344883361.971238
1223,2344883361.7626877
1224,2344883361.5570765
1225,2344883361.3543625
1226,2344883361.154506
1227,2344883360.9574647
1228,2344883360.763202
1229,2344883360.571676
1230,2344883360.3828497
1231,2344883360.1966844
1232,2344883360.013143
1233,2344883359.832188
1234,2344883359.6537833
1235,2344883359.4778934
1236,2344883359.304481
1237,2344883359.1335144
1238,2344883358.9649563
1239,2344883358.7987733
1240,2344883358.634933
1241,2344883358.473401
1242,2344883358.3141465
1243,2344883358.1571355
1244,2344883358.002338
1245,2344883357.849721
1246,2344883357.6992564
1247,2344883357.550911
1248,2344883357.404657
1249,2344883357.2604637
1250,2344883357.118303
1251,2344883356.9781456
1252,2344883356.839963
1253,2344883356.703728
1254,2344883356.5694127
1255,2344883356.4369903
1256,2344883356.3064346
1257,2344883356.1777186
1258,2344883356.050818
1259,2344883355.9257045
1260,2344883355.8023543
1261,2344883355.680742
1262,2344883355.560844
1263,2344883355.4426355
1264,2344883355.3260937
1265,2344883355.2111936
1266,2344883355.097913
1267,2344883354.986229
1268,2344883354.876118
1269,2344883354.7675595
1270,2344883354.660531
1271,2344883354.5550113
1272,2344883354.4509783
1273,2344883354.348411
1274,2344883354.247289
1275,2344883354.147593
1276,2344883354.049302
1277,2344883353.9523954
1278,2344883353.856855
1279,2344883353.7626605
1280,2344883353.6697946
1281,2344883353.5782366
1282,2344883353.487969
1283,2344883353.3989735
1284,2344883353.311232
1285,2344883353.224727
1286,2344883353.1394415
1287,2344883353.0553584
1288,2344883352.9724593
1289,2344883352.890729
1290,2344883352.81015
1291,2344883352.7307067
1292,2344883352.652384
1293,2344883352.5751634
1294,2344883352.499032
1295,2344883352.4239736
1296,2344883352.349973
1297,2344883352.2770147
1298,2344883352.2050853
