step,alpha_1e-05,alpha_0.0001,alpha_0.001
224,1767243771.3789237,147971100.22943896,1.4239297383699797e+51
225,1754183831.865023,147603397.7158779,2.1666303672462182e+51
226,1741276480.1536894,147241649.47587556,3.2967126268794637e+51
227,1728519758.260688,146885751.54774332,5.016229029430663e+51
228,1715911735.2533922,146535601.8113191,7.632619680145049e+51
229,1703450506.8067381,146191099.95498687,1.1613680882579166e+52
230,1691134194.7692742,145852147.44329137,1.767120455290675e+52
231,1678960946.738978,145518647.4851396,2.688824271201455e+52
232,1666928935.6485298,145190505.0025768,4.091275124882649e+52
233,1655036359.359735,144867626.60012707,6.225223539805448e+52
234,1643281440.2668154,144549920.53468782,9.472207792835602e+52
235,1631662424.9082978,144237296.68596873,1.4412770866290775e+53
236,1620177583.587218,143929666.52746445,2.1930258350256773e+53
237,1608825209.999397,143626943.0979522,3.3368755791007638e+53
238,1597603620.8695424,143329040.97350353,5.077340381750996e+53
239,1586511155.5949347,143035876.24000248,7.72560580730627e+53
240,1575546175.8964696,142747366.46615916,1.1755167194305991e+54
241,1564707065.476852,142463430.67701072,1.7886488026014012e+54
242,1553992229.6857054,142183989.32790127,2.721581485116686e+54
243,1543400095.1914237,141908964.27893063,4.141118015653627e+54
244,1532929109.6595454,141638278.76986462,6.301063743030198e+54
245,1522577741.437483,141371857.39549765,9.587605121044344e+54
246,1512344479.2454119,141109626.08146068,1.4588357729082447e+55
247,1502227831.8731532,140851512.06046426,2.2197428716014722e+55
248,1492226327.8828816,140597443.84897065,3.3775278256324024e+55
249,1482338515.3174949,140347351.22428688,5.139196237035714e+55
250,1472562961.4144948,140101165.20206976,7.819724759134103e+55
251,1462898252.325222,139858818.01423767,1.1898377195241145e+56
252,1453342992.8393102,139620243.08727908,1.8104394239051343e+56
253,1443895806.1142108,139385375.02095306,2.754737771249087e+56
254,1434555333.4096627,139154149.5673725,4.191568128790387e+56
255,1425320233.82697,138926503.61046502,6.377827886799139e+56
256,1416189184.052971,138702375.14580292,9.704408303479332e+56
257,1407160878.1085718,138481703.26079723,1.4766083718810245e+57
258,1398234027.1017315,138264428.11524704,2.246785394558674e+57
259,1389407358.9847865,138050490.92224067,3.418675327413705e+57
260,1380679618.3160043,137839833.92939878,5.201805665361684e+57
261,1372049566.025262,137632400.40045628,7.914990336522953e+57
262,1363515979.1837568,137428134.59717515,1.2043331884620842e+58
263,1355077650.7776346,137226981.76158217,1.832495514414511e+58
264,1346733389.485462,137028888.0985273,2.78829799138681e+58
265,1338482019.4594321,136833800.75855386,4.2426328619176626e+58
266,1330322380.1102302,136641667.82107866,6.455527227228344e+58
267,1322253325.8954678,136452438.27787313,9.822634467279819e+58
268,1314273726.1116054,136266062.01684147,1.4945974895875188e+59
269,1306382464.6892734,136082489.80609122,2.274157369209246e+59
270,1298578439.99194,135901673.27828866,3.460324118004533e+59
271,1290860564.6178184,135723564.91529652,5.265177847304077e+59
272,1283227765.2049694,135548118.03308648,8.0114165084998205e+59
273,1275678982.2395093,135375286.76692337,1.2190052517509325e+60
274,1268213169.86687,135205026.05681518,1.8548203082685704e+60
275,1260829295.7060335,135037291.63322374,2.8222670665478407e+60
276,1253526340.6666877,134872040.00303286,4.2943197027834255e+60
277,1246303298.7692356,134709228.4357671,6.534173157564048e+60
278,1239159176.9675975,134548814.95005897,9.94230094824029e+60
279,1232092994.9747512,134390758.30035728,1.5128057638165016e+61
280,1225103785.0909576,134235017.963876,2.301862809173453e+61
281,1218190592.0346029,134081554.1277752,3.502480304469943e+61
282,1211352472.7756224,133930327.67657278,5.329322075282498e+61
283,1204588496.3714423,133781300.17978187,8.109017414272528e+61
284,1197897743.8053937,133634433.87976907,1.2338560607915507e+62
285,1191279307.827547,133489691.67983136,1.8774170790070016e+62
286,1184732292.7979298,133347037.13248557,2.856649977701611e+62
287,1178255814.5320642,133206434.42796825,4.346636230356873e+62
288,1171849000.1487978,133067848.38294107,6.613777209853366e+62
289,1165510987.9203722,132931244.42939886,1.0063425293352507e+63
290,1159240927.1246946,132796588.60377623,1.5312358644922095e+63
291,1153037977.899764,132663847.53624836,2.3299057769684123e+63
292,1146901311.1002216,132532988.44022425,3.545150068275715e+63
293,1140830108.1559756,132403979.10202783,5.39424775492357e+63
294,1134823560.9328701,132276787.87076287,8.207807365303038e+63
295,1128880871.5953653,132151383.64836015,1.2488877931947588e+64
296,1123001252.471172,132027735.87980178,1.90028914005012e+64
297,1117183925.91784,131905814.54352127,2.89145176649932e+64
298,1111428124.1912272,131785590.14197396,4.3995901159396886e+64
299,1105733089.315851,131667033.69237714,6.694351056635118e+64
300,1100098072.9570668,131550116.71761508,1.0186025263378429e+65
301,1094522336.2950475,131434811.23730654,1.5498904940658373e+65
302,1089005149.900541,131321089.75903183,2.3582903846037727e+65
303,1083545793.6123645,131208925.26971704,3.588339666194739e+65
304,1078143556.4166143,131098291.22717145,5.459964406440124e+65
305,1072797736.3275557,130989161.55177617,8.307800847405945e+65
306,1067507640.2701728,130881510.61832155,1.2641026531006176e+66
307,1062272583.964343,130775313.24799027,1.9234398451847466e+66
308,1057091891.8106148,130670544.70048217,2.9266775360132457e+66
309,1051964896.777562,130567180.66628179,4.4531891242909404e+66
310,1046890940.2906823,130465197.25906184,6.77590651265154e+66
311,1041869372.122828,130364571.00822334,1.0310118835454588e+67
312,1036899550.286131,130265278.85156803,1.5687723879118106e+67
313,1031980840.9254068,130167298.12810223,2.3870207941846783e+67
314,1027112618.2130111,130070606.57096785,3.632055431224458e+67
315,1022294264.245129,129975182.30050054,5.52648166602711e+67
316,1017525168.9394639,129881003.81741044,8.409012522872561e+67
317,1012804729.9343233,129788049.99608561,1.2795028715016216e+68
318,1008132352.4890577,129696300.0780132,1.946872589055967e+68
319,1003507449.3858527,129605733.66531923,2.962332451484995e+68
320,998929440.8328371,129516330.7144226,4.507441114765639e+68
321,994397754.3684942,129428071.52980198,6.858455536580622e+68
322,989911824.7673597,129340936.75787412,1.0435724205728e+69
323,985471093.9469769,129254907.38098067,1.5878843147288672e+69
324,981075010.8761023,129169964.71148217,2.4161012185220665e+69
325,976723031.4841318,129086090.38595694,3.676303773515504e+69
326,972414618.5717381,129003266.35950328,5.593809287274655e+69
327,968149241.7226934,128921474.900143,8.511457232620927e+69
328,963926377.2168701,128840698.58332396,1.2950907065698472e+70
329,959745507.9443883,128760920.28652124,1.970590807664916e+70
330,955606123.3209075,128682123.18393317,2.9984217410829205e+70
